text,similarity,levenshtein,index
Aeromonas salmonicida subsp. salmonicida,0.9230769230769231,3.5,2460186
Aeromonas salmonicida subsp. salmonicida,0.9230769230769231,3.5,2460189
Aeromonas salmonicida subsp. salmonicida,0.9230769230769231,3.5,2460223
Aeromonas salmonicida subsp. salmonicida,0.9230769230769231,3.5,2460227
Aeromonas salmonicida subsp. salmonicida,0.9230769230769231,3.5,2460243
Aeromonas salmonicida subsp. salmonicida,0.9230769230769231,3.5,2460245
Aeromonas salmonicida subsp. salmonicida,0.9230769230769231,3.5,2460246
Aeromonas salmonicida subsp. salmonicida,0.9230769230769231,3.5,2460247
Aeromonas salmonicida subsp. salmonicida,0.9230769230769231,3.5,2460252
Aeromonas salmonicida subsp. salmonicida,0.9230769230769231,3.5,2460267
Aeromonas salmonicida subsp. salmonicida,0.9230769230769231,3.5,2460268
Aeromonas salmonicida subsp. salmonicida,0.9230769230769231,3.5,2460270
Aeromonas salmonicida subsp. salmonicida,0.9230769230769231,3.5,2507252
Aeromonas salmonicida subsp. salmonicida,0.9230769230769231,3.5,2507253
Aeromonas salmonicida subsp. salmonicida,0.9230769230769231,3.5,2674166
Aeromonas salmonicida subsp. salmonicida,0.9230769230769231,3.5,2674167
Aeromonas salmonicida subsp. salmonicida,0.9230769230769231,3.5,2674168
Aggregatibacter aphrophilus NJ8700,1,0,883
Aggregatibacter aphrophilus NJ8700,1,0,50830
Alcanivorax borkumensis SK2,1,0,251
Anoxybacillus flavithermus WK1,1,0,701
Archaeoglobus fulgidus DSM 4304,1,0,222
Archaeoglobus profundus DSM 5631,1,0,988
Arthrobacter sp. FB24,1,0,3637
Azorhizobium caulinodans ORS 571,1,0,309
Azospirillum sp. B510,1,0,319
Bacillus cereus ATCC 14579,1,0,181
Bacillus cereus ATCC 14579,1,0,292711
Bacillus cereus ATCC 14579,1,0,2305897
Bacillus cereus ATCC 14579,1,0,2370944
Bacillus cereus ATCC 14579,1,0,2856533
Bacillus subtilis subsp. subtilis str. 168,1,0,236
Bacillus subtilis subsp. subtilis str. 168,1,0,1748
Bacillus subtilis subsp. subtilis str. 168,1,0,27122
Bacillus subtilis subsp. subtilis str. 168,1,0,31520
Bacillus subtilis subsp. subtilis str. 168,1,0,90702
Bacillus subtilis subsp. subtilis str. 168,1,0,90704
Bacillus subtilis subsp. subtilis str. 168,1,0,629412
